symbol,date,open,high,low,close,volume,adjclose,splits
GBR,2016-05-18,0.8799999952316284,0.8799999952316284,0.8799999952316284,0.8799999952316284,3900,0.8799999952316284,0.0
GBR,2016-05-19,0.8700000047683716,0.8700000047683716,0.8500000238418579,0.8600000143051147,1500,0.8600000143051147,0.0
GBR,2016-05-20,0.8600000143051147,0.8600000143051147,0.8500000238418579,0.8500000238418579,2600,0.8500000238418579,0.0
GBR,2016-05-23,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8199999928474426,2000,0.8199999928474426,0.0
GBR,2016-05-24,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8199999928474426,300,0.8199999928474426,0.0
GBR,2016-05-25,0.8500000238418579,0.9399999976158142,0.8500000238418579,0.9300000071525574,4500,0.9300000071525574,0.0
GBR,2016-05-26,0.9399999976158142,0.9399999976158142,0.8799999952316284,0.8799999952316284,700,0.8799999952316284,0.0
GBR,2016-05-27,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8199999928474426,900,0.8199999928474426,0.0
GBR,2016-05-31,0.8199999928474426,0.8199999928474426,0.8199999928474426,0.8199999928474426,0,0.8199999928474426,0.0
GBR,2016-06-01,0.8100000023841858,0.8100000023841858,0.8100000023841858,0.8100000023841858,2500,0.8100000023841858,0.0
GBR,2016-06-02,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,3100,0.8500000238418579,0.0
GBR,2016-06-03,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0,0.8500000238418579,0.0
GBR,2016-06-06,0.8500000238418579,0.8799999952316284,0.8500000238418579,0.8799999952316284,400,0.8799999952316284,0.0
GBR,2016-06-07,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,200,0.8500000238418579,0.0
GBR,2016-06-08,0.8700000047683716,2.880000114440918,0.8700000047683716,1.3200000524520874,924300,1.3200000524520874,0.0
GBR,2016-06-09,1.2899999618530273,2.369999885559082,1.2799999713897705,1.7899999618530273,1003300,1.7899999618530273,0.0
GBR,2016-06-10,1.7400000095367432,4.150000095367432,1.7300000190734863,2.640000104904175,3419900,2.640000104904175,0.0
